# QMT 核心票全天状态迁移表

- 快照数量：2

## 603799.SH 华友钴业
- 0926 | 动作=回避 | 角色=主线前排 | 题材=有色资源 | 总分=12 | 涨幅=3.03%
- 2151 | 动作=回避 | 角色=主线前排 | 题材=有色资源 | 总分=12 | 涨幅=3.03%

## 600010.SH 包钢股份
- 0926 | 动作=备选 | 角色=主线前排 | 题材=有色资源 | 总分=10 | 涨幅=-4.03%
- 2151 | 动作=备选 | 角色=主线前排 | 题材=有色资源 | 总分=10 | 涨幅=-4.03%

## 600522.SH 中天科技
- 0926 | 动作=回避 | 角色=跟风前排 | 题材=铜缆高速连接 | 总分=10 | 涨幅=-0.67%
- 2151 | 动作=回避 | 角色=跟风前排 | 题材=铜缆高速连接 | 总分=10 | 涨幅=-0.67%

## 601231.SH 环旭电子
- 0926 | 动作=回避 | 角色=非核心 | 题材=消费电子 | 总分=10 | 涨幅=1.2%
- 2151 | 动作=回避 | 角色=非核心 | 题材=消费电子 | 总分=10 | 涨幅=1.2%

## 601318.SH 中国平安
- 0926 | 动作=回避 | 角色=非核心 | 题材=泛市场 | 总分=10 | 涨幅=2.11%
- 2151 | 动作=回避 | 角色=非核心 | 题材=泛市场 | 总分=10 | 涨幅=2.11%

## 600183.SH 生益科技
- 0926 | 动作=备选 | 角色=主线前排 | 题材=半导体 | 总分=9 | 涨幅=5.28%
- 2151 | 动作=备选 | 角色=主线前排 | 题材=半导体 | 总分=9 | 涨幅=5.28%

## 600602.SH 云赛智联
- 0926 | 动作=回避 | 角色=非核心 | 题材=泛市场 | 总分=9 | 涨幅=0.29%
- 2151 | 动作=回避 | 角色=非核心 | 题材=泛市场 | 总分=9 | 涨幅=0.29%
