# 首板盘中跟踪

交易日：20260424
跟踪数：32 只
数据覆盖：32/32 只 (100.0%)

## 极简摘要

**封板 7 只**
- 000925.SZ 众合科技（AI算力）09:45 封板
- 002606.SZ 大连电瓷（一季报增长）11:00 封板
- 600726.SH 华电能源（一季报增长）09:45 封板

**炸板 1 只**
- 002606.SZ 大连电瓷（一季报增长）13:15 炸板

## 完整跟踪

### 601016.SH 节能风电 - 风电
早盘：开盘 1.12% | 竞价额 7.62千万 | 量比 3.73

- 09:26: 炸板 | 涨幅 6.47% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.12% | 成交额 0.76亿
- 09:45: 弱势 | 涨幅 3.57% | 成交额 13.40亿
- 10:15: 弱势 | 涨幅 3.79% | 成交额 24.05亿
- 11:00: 弱势 | 涨幅 3.12% | 成交额 32.45亿
- 13:15: 弱势 | 涨幅 2.90% | 成交额 36.78亿
- 14:00: 弱势 | 涨幅 1.56% | 成交额 42.02亿
- 14:40: 弱势 | 涨幅 1.56% | 成交额 44.88亿

### 603315.SH 福鞍股份 - 燃气轮机
早盘：开盘 -3.53% | 竞价额 1.93千万 | 量比 2.36

- 09:26: 换手涨停 | 涨幅 9.98% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -3.53% | 成交额 0.19亿
- 09:45: 弱势 | 涨幅 -7.83% | 成交额 1.83亿
- 10:15: 弱势 | 涨幅 -9.22% | 成交额 3.59亿
- 11:00: 弱势 | 涨幅 -7.17% | 成交额 5.69亿
- 13:15: 弱势 | 涨幅 -7.78% | 成交额 6.38亿
- 14:00: 弱势 | 涨幅 -7.89% | 成交额 7.05亿
- 14:40: 弱势 | 涨幅 -5.68% | 成交额 7.76亿

### 603308.SH 应流股份 - 燃气轮机
早盘：开盘 -1.00% | 竞价额 5.40千万 | 量比 2.65

- 09:26: 弱势 | 涨幅 -2.40% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -1.00% | 成交额 0.54亿
- 09:45: 弱势 | 涨幅 -0.59% | 成交额 4.92亿
- 10:15: 弱势 | 涨幅 -1.80% | 成交额 9.48亿
- 11:00: 弱势 | 涨幅 -0.35% | 成交额 17.02亿
- 13:15: 弱势 | 涨幅 -2.53% | 成交额 19.82亿
- 14:00: 弱势 | 涨幅 -1.05% | 成交额 21.41亿
- 14:40: 弱势 | 涨幅 -0.39% | 成交额 23.36亿

### 603538.SH 美诺华 - 医药
早盘：开盘 -0.99% | 竞价额 7.16千万 | 量比 2.30

- 09:26: 弱势 | 涨幅 2.61% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.99% | 成交额 0.72亿
- 09:45: 弱势 | 涨幅 0.27% | 成交额 5.21亿
- 10:15: 弱势 | 涨幅 1.62% | 成交额 13.42亿
- 11:00: 炸板 | 涨幅 4.34% | 成交额 23.82亿
- 13:15: 弱势 [转弱] | 涨幅 3.33% | 成交额 26.20亿
- 14:00: 炸板 | 涨幅 4.59% | 成交额 28.13亿
- 14:40: 弱势 [转弱] | 涨幅 3.08% | 成交额 31.09亿

### 603220.SH 中贝通信 - CPO
早盘：开盘 -2.95% | 竞价额 3.39千万 | 量比 1.30

- 09:26: 弱势 | 涨幅 2.25% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -2.95% | 成交额 0.34亿
- 09:45: 弱势 | 涨幅 -5.05% | 成交额 5.12亿
- 10:15: 弱势 | 涨幅 -7.57% | 成交额 10.93亿
