# 首板盘中跟踪

交易日：20260427
跟踪数：42 只
数据覆盖：42/42 只 (100.0%)

## 极简摘要

**封板 4 只**
- 600338.SH 西藏珠峰（有色资源）11:00 封板
- 001211.SZ 双枪科技（竹基禾塑托盘）13:15 封板
- 600152.SH 维科技术（钠电储能龙头）13:15 封板

## 完整跟踪

### 000889.SZ 中嘉博创 - AI算力
早盘：开盘 -1.88% | 竞价额 3.16千万 | 量比 3.18

- 09:26: 弱势 | 涨幅 -1.88% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -1.88% | 成交额 0.32亿
- 09:45: 弱势 | 涨幅 -6.05% | 成交额 1.64亿
- 10:15: 弱势 | 涨幅 -7.93% | 成交额 3.10亿
- 11:00: 弱势 | 涨幅 -8.77% | 成交额 5.18亿
- 13:15: 弱势 | 涨幅 -8.98% | 成交额 6.46亿
- 14:00: 弱势 | 涨幅 -7.93% | 成交额 7.96亿
- 14:40: 弱势 | 涨幅 -6.05% | 成交额 9.19亿

### 603937.SH 丽岛新材 - 有色资源
早盘：开盘 -1.66% | 竞价额 0.26千万 | 量比 2.00

- 09:26: 弱势 | 涨幅 0.00% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -1.66% | 成交额 0.03亿
- 09:45: 弱势 | 涨幅 -6.28% | 成交额 0.25亿
- 10:15: 弱势 | 涨幅 -9.96% | 成交额 0.77亿
- 11:00: 弱势 | 涨幅 -9.96% | 成交额 1.00亿
- 13:15: 弱势 | 涨幅 -9.96% | 成交额 1.13亿
- 14:00: 弱势 | 涨幅 -9.96% | 成交额 1.28亿
- 14:40: 弱势 | 涨幅 -9.96% | 成交额 1.38亿

### 002810.SZ 山东赫达 - 有色资源
早盘：开盘 -0.76% | 竞价额 1.15千万 | 量比 2.57

- 09:26: 炸板 | 涨幅 5.98% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -0.76% | 成交额 0.12亿
- 09:45: 弱势 | 涨幅 -1.94% | 成交额 0.79亿
- 10:15: 弱势 | 涨幅 -2.01% | 成交额 1.70亿
- 11:00: 弱势 | 涨幅 -1.63% | 成交额 2.70亿
- 13:15: 弱势 | 涨幅 -1.73% | 成交额 3.43亿
- 14:00: 弱势 | 涨幅 -2.56% | 成交额 3.99亿
- 14:40: 弱势 | 涨幅 -2.35% | 成交额 4.44亿

### 002756.SZ 永兴材料 - 有色资源
早盘：开盘 0.37% | 竞价额 1.90千万 | 量比 1.27

- 09:26: 弱势 | 涨幅 1.76% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.37% | 成交额 0.19亿
- 09:45: 弱势 | 涨幅 3.71% | 成交额 3.20亿
- 10:15: 弱势 | 涨幅 1.96% | 成交额 6.63亿
- 11:00: 弱势 | 涨幅 2.17% | 成交额 10.31亿
- 13:15: 弱势 | 涨幅 2.29% | 成交额 12.33亿
- 14:00: 炸板 | 涨幅 4.39% | 成交额 14.81亿
- 14:40: 炸板 | 涨幅 4.33% | 成交额 17.18亿

### 002240.SZ 盛新锂能 - 有色资源
早盘：开盘 0.16% | 竞价额 4.20千万 | 量比 1.56

- 09:26: 弱势 | 涨幅 3.28% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.16% | 成交额 0.42亿
- 09:45: 炸板 | 涨幅 4.06% | 成交额 5.65亿
- 10:15: 弱势 [转弱] | 涨幅 2.08% | 成交额 13.58亿
- 11:00: 弱势 | 涨幅 3.00% | 成交额 20.34亿
